gene_symbol	GSM9336110	GSM9336111	GSM9336112	GSM9336113	GSM9336114	GSM9336115
HIRIP3	112	164	144	152	168	96
HIVEP1	1139	1516	1743	1074	1181	1284
HIVEP2	432	634	661	676	574	677
HIVEP3	126	136	175	222	264	210
HJURP	1032	1341	1422	527	533	507
HK1	11999	15752	16949	19375	15346	18459
HK2	1627	2041	2396	954	673	893
HK2-DT	8	2	2	4	0	0
HK3	2	0	6	0	0	0
HKDC1	0	4	2	0	6	2
HLA-A	8451	10557	10330	10611	8613	9575
HLA-B	1501	1749	2006	2914	2770	2655
HLA-C	4648	6330	6560	5382	4706	4457
HLA-DMA	6	2	14	38	35	20
HLA-DMB	1	2	0	4	0	2
HLA-DPA1	68	88	94	314	343	404
HLA-DPB1	36	88	66	244	164	230
HLA-DPB2	0	0	0	2	0	0
HLA-DQA1	0	0	0	14	0	0
HLA-DRA	2	0	0	0	0	0
HLA-DRB1	0	6	0	0	0	0
HLA-DRB5	0	0	3	0	0	0
HLA-E	9887	13570	12794	14010	11966	14378
HLA-F	42	13	65	117	49	27
HLA-F-AS1	2	6	1	4	0	2
HLA-G	5	2	1	7	2	11
HLA-K	2	8	12	8	0	8
HLA-L	2	0	0	2	0	0
HLCS	362	427	490	891	704	809
HLCS-AS1	0	2	2	0	0	0
HLTF	488	785	753	519	405	581
HLX	121	123	196	96	78	84
HLX-AS1	0	1	0	0	0	1
HM13	4797	6222	6916	11210	8809	11222
HMBOX1	692	887	947	462	472	527
HMBS	832	1270	1654	1196	1046	1118
HMCES	630	817	913	527	336	488
HMCN1	1082	1339	1477	2061	1553	2086
HMCN2	0	2	0	2	1	0
HMG20A	1130	1613	1492	1363	1068	1470
HMG20B	1290	1588	1734	1933	1599	1943
HMGA1	29580	43704	43179	29919	22243	26388
HMGA2	1478	2143	2160	1883	1648	1835
HMGA2-AS1	0	2	0	0	2	0
HMGB1	3365	4786	5001	1864	1553	1830
HMGB1P31	0	0	0	4	0	0
HMGB1P39	1	0	0	0	0	0
HMGB1P5	0	3	1	0	0	0
HMGB2	1070	1470	1588	366	342	320
HMGB3	908	1142	1264	504	408	464
HMGB3P22	0	0	0	1	0	0
HMGB3P28	2	0	0	0	0	0
HMGCL	714	989	1049	1185	957	1022
HMGCR	1476	2212	2680	1520	1192	1626
HMGCS1	666	936	1055	463	464	501
HMGCS2	0	0	0	2	0	0
HMGN1	6154	7448	8626	6180	5550	5646
HMGN1P8	0	0	2	0	0	0
